fish_indiv,date,anem_id,old_anem_id,anem_obs,second_year,later_year
1775,17600,2467,NA,424,NA,NA
1781,16587,2045,NA,217,NA,NA
1781,16942,2288,NA,371,NA,NA
1781,17598,2957,NA,693,NA,NA
1781,17622,2957,NA,693,NA,NA
1847,16959,2536,NA,NA,FALSE,FALSE
1847,17319,2763,NA,583,FALSE,FALSE
1848,16959,2546,740,463,TRUE,NA
1848,17319,2780,NA,NA,TRUE,NA
1851,16949,2316,NA,398,NA,NA
1851,16968,2316,NA,398,NA,NA
1851,17307,2317,NA,399,NA,NA
1851,17329,2317,NA,399,NA,NA
1919,17315,2699,NA,556,TRUE,NA
1919,17611,3158,1051,29,TRUE,NA
1972,17307,2646,380?,522,NA,NA
1972,17329,2646,NA,522,NA,NA
1973,17307,2645,376?,521,NA,NA
1973,17329,2645,NA,521,NA,NA
1974,17307,2317,NA,399,NA,NA
1974,17329,2317,NA,399,NA,NA
1974,17631,2661,NA,533,NA,NA
1981,17308,2660,NA,131,NA,NA
1981,17612,2659,1327,131,NA,NA
1982,17308,2660,NA,131,NA,NA
1982,17612,2659,1327,131,NA,NA
1982,17631,2659,NA,131,NA,NA
1989,17311,2664,NA,536,NA,NA
1989,17330,2664,NA,536,NA,NA
1991,17311,2669,NA,540,TRUE,NA
1991,17619,2671,NA,541,TRUE,NA
1993,17313,2674,392,542,NA,NA
1993,17613,2674,NA,542,NA,NA
2006,17316,2710,1048,NA,NA,NA
2006,17600,3010,NA,NA,NA,NA
2006,17611,3166,NA,NA,NA,NA
2007,17316,2716,NA,565,NA,NA
2007,17600,3009,239,NA,NA,NA
2007,17611,2716,NA,565,NA,NA
2009,17316,2715,NA,564,NA,NA
2009,17600,2715,NA,564,NA,NA
2010,17316,2076,NA,230,FALSE,FALSE
2010,17600,2715,NA,564,FALSE,FALSE
2011,17316,2076,NA,230,FALSE,FALSE
2011,17600,2461,NA,421,FALSE,FALSE
2011,17622,3213,NA,NA,FALSE,FALSE
2015,17316,2721,NA,NA,NA,NA
2015,17600,3004,NA,NA,NA,NA
2019,17316,2730,NA,578,TRUE,NA
2019,17622,3211,NA,NA,TRUE,NA
2021,17316,2735,NA,NA,FALSE,FALSE
2021,17600,2470,NA,427,FALSE,FALSE
2022,17316,2735,NA,NA,FALSE,FALSE
2022,17627,3002,NA,710,FALSE,FALSE
2025,17319,2765,NA,584,NA,NA
2025,17608,2763,NA,583,NA,NA
2025,17630,2763,NA,583,NA,NA
2037,17327,2865,NA,NA,NA,NA
2037,17627,3240,NA,NA,NA,NA
2040,17308,2281,NA,364,NA,NA
2040,17612,2281,NA,364,NA,NA
2040,17631,2281,NA,364,NA,NA
2134,16245,637,NA,921,NA,NA
2134,16586,2026,NA,199,NA,NA
2134,17328,2026,NA,199,NA,NA
2138,16597,2155,NA,260,TRUE,NA
2138,16959,2530,NA,456,TRUE,NA
2138,17320,2153,NA,258,TRUE,NA
2142,16956,2473,597,430,NA,NA
2142,17316,2731,NA,579,NA,NA
2142,17622,2731,NA,579,NA,NA
2151,16967,2578,NA,NA,NA,NA
2151,17598,2036,NA,208,NA,NA
2151,17622,3216,NA,NA,NA,NA
2153,16599,806,NA,273,NA,NA
2153,16933,2174,806,273,NA,NA
2160,17316,2461,NA,421,NA,NA
2160,17600,2461,NA,421,NA,NA
2160,17622,3213,NA,NA,NA,NA
2166,16933,2183,NA,NA,NA,NA
2166,16959,2553,NA,NA,NA,NA
2193,16955,2461,NA,421,TRUE,NA
2193,16956,2475,NA,432,TRUE,NA
2193,17316,2727,NA,575,TRUE,NA
2193,17622,2479,NA,435,TRUE,NA
2196,16947,1304,NA,116,FALSE,FALSE
2196,17309,2306,NA,387,FALSE,FALSE
2214,15855,249,NA,NA,NA,NA
2214,16587,1121,NA,55,NA,NA
2214,16956,2481,NA,437,NA,NA
2214,17316,2481,NA,437,NA,NA
2214,17600,3004,NA,NA,NA,NA
2234,16595,2134,NA,244,FALSE,TRUE
2234,16961,2135,NA,245,FALSE,TRUE
2263,16955,2470,NA,427,NA,NA
2263,17316,2735,NA,NA,NA,NA
2263,17316,2736,NA,NA,NA,NA
2263,17600,2999,NA,NA,NA,NA
2264,16948,2310,NA,392,NA,NA
2264,17325,2310,NA,392,NA,NA
2264,17593,2310,NA,392,NA,NA
2264,17619,2310,NA,392,NA,NA
